================================== 
=== Warnings About Source Data === 
================================== 
      Product 2376 refers to product 3038 for which there is no definition in the source data.
      Product 3297 refers to product 3355 for which there is no definition in the source data.

================================== 
=== Product Component Tree     === 
================================== 
Product 1293 Rolled Up Cost: 0.0
Product 1294 Rolled Up Cost: 0.0
Product 1295 Rolled Up Cost: 0.0
Product 1296 Rolled Up Cost: 0.0
Product 1297 Rolled Up Cost: 0.0
Product 1299 Rolled Up Cost: 3.2884
Product 1300 Rolled Up Cost: 1.72
Product 1301 Rolled Up Cost: 0.0
Product 1302 Rolled Up Cost: 0.0
Product 1303 Rolled Up Cost: 3.82
Product 1304 Rolled Up Cost: 0.0
Product 1305 Rolled Up Cost: 0.0
Product 1306 Rolled Up Cost: 0.0
Product 1307 Rolled Up Cost: 0.0
Product 1308 Rolled Up Cost: 0.0
Product 1309 Rolled Up Cost: 0.0
Product 1310 Rolled Up Cost: 0.0
Product 1311 Rolled Up Cost: 0.0
Product 1312 Rolled Up Cost: 0.0
Product 1313 Rolled Up Cost: 0.0
Product 1314 Rolled Up Cost: 0.0
Product 1315 Rolled Up Cost: 0.0
Product 1316 Rolled Up Cost: 0.0
Product 1317 Rolled Up Cost: 0.0
Product 1318 Rolled Up Cost: 0.0
Product 1319 Rolled Up Cost: 0.0
Product 1320 Rolled Up Cost: 0.0
Product 1321 Rolled Up Cost: 0.0
Product 1322 Rolled Up Cost: 0.0
Product 1323 Rolled Up Cost: 0.0
Product 1324 Rolled Up Cost: 0.0
Product 1325 Rolled Up Cost: 0.0
Product 1326 Rolled Up Cost: 0.0
Product 1327 Rolled Up Cost: 0.0
Product 1328 Rolled Up Cost: 0.7659
Product 1329 Rolled Up Cost: 0.8242
Product 1330 Rolled Up Cost: 21.2808
Product 1331 Rolled Up Cost: 10.7957
Product 1332 Rolled Up Cost: 10.6457
Product 1333 Rolled Up Cost: 12.4557
Product 1334 Rolled Up Cost: 0.3902
Product 1335 Rolled Up Cost: 0.7655
Product 1336 Rolled Up Cost: 23.8298
Product 1337 Rolled Up Cost: 1.5458
Product 1338 Rolled Up Cost: 23.8372
Product 1339 Rolled Up Cost: 9.2641
Product 1340 Rolled Up Cost: 31.008
Product 1341 Rolled Up Cost: 1.5465
Product 1342 Rolled Up Cost: 15.4224
Product 1343 Rolled Up Cost: 16.2042
Product 1344 Rolled Up Cost: 16.9646
Product 1345 Rolled Up Cost: 12.9055
Product 1346 Rolled Up Cost: 15.487
Product 1347 Rolled Up Cost: 0.0
Product 1348 Rolled Up Cost: 1.547
Product 1349 Rolled Up Cost: 3.8608
Product 1350 Rolled Up Cost: 1272.348
Product 1351 Rolled Up Cost: 33.9293
Product 1352 Rolled Up Cost: 17.1895
Product 1353 Rolled Up Cost: 44.438
Product 1354 Rolled Up Cost: 15.419
Product 1355 Rolled Up Cost: 22.219
Product 1356 Rolled Up Cost: 25.925
Product 1357 Rolled Up Cost: 34.034
Product 1358 Rolled Up Cost: 0.8242
Product 1359 Rolled Up Cost: 43.027
Product 1360 Rolled Up Cost: 21.5057
Product 1361 Rolled Up Cost: 55.539
Product 1362 Rolled Up Cost: 29.308
Product 1363 Rolled Up Cost: 27.71
Product 1364 Rolled Up Cost: 32.351
Product 1365 Rolled Up Cost: 26.52
Product 1366 Rolled Up Cost: 263.2434
Product 1367 Rolled Up Cost: 36.0335
Product 1368 Rolled Up Cost: 5.38
Product 1369 Rolled Up Cost: 79.3
Product 1370 Rolled Up Cost: 0.0
Product 1371 Rolled Up Cost: 85.37
Product 1372 Rolled Up Cost: 68.55
Product 1373 Rolled Up Cost: 85.37
Product 1374 Rolled Up Cost: 0.0
Product 1375 Rolled Up Cost: 8.95
Product 1376 Rolled Up Cost: 9.1676
Product 1377 Rolled Up Cost: 0.0
Product 1378 Rolled Up Cost: 157.718
Product 1379 Rolled Up Cost: 171.0463
Product 1380 Rolled Up Cost: 137.7256
Product 1381 Rolled Up Cost: 1.698
Product 1382 Rolled Up Cost: 3057.0632
Product 1383 Rolled Up Cost: 91.7809
Product 1384 Rolled Up Cost: 0.0
Product 1385 Rolled Up Cost: 62.35
Product 1386 Rolled Up Cost: 76.0381
Product 1387 Rolled Up Cost: 17.557
Product 1388 Rolled Up Cost: 43.512
Product 1389 Rolled Up Cost: 68.7275
Product 1390 Rolled Up Cost: 97.162
Product 1391 Rolled Up Cost: 114.6964
Product 1392 Rolled Up Cost: 183.954
Product 1393 Rolled Up Cost: 157.1361
Product 1394 Rolled Up Cost: 1.0836
Product 1395 Rolled Up Cost: 3.2852
Product 1396 Rolled Up Cost: 3.7496
Product 1397 Rolled Up Cost: 195.048
Product 1398 Rolled Up Cost: 292.572
Product 1399 Rolled Up Cost: 4.0592
Product 1400 Rolled Up Cost: 1.8232
Product 1401 Rolled Up Cost: 1.548
Product 1402 Rolled Up Cost: 0.8084
Product 1403 Rolled Up Cost: 0.8428
Product 1404 Rolled Up Cost: 0.2924
Product 1405 Rolled Up Cost: 2.6316
Product 1406 Rolled Up Cost: 5.2804
Product 1407 Rolled Up Cost: 7.7744
Product 1408 Rolled Up Cost: 390.096
Product 1409 Rolled Up Cost: 487.62
Product 1410 Rolled Up Cost: 0.6708
Product 1411 Rolled Up Cost: 2.2188
Product 1412 Rolled Up Cost: 4.5236
Product 1413 Rolled Up Cost: 2.752
Product 1414 Rolled Up Cost: 12.0056
Product 1415 Rolled Up Cost: 1.8576
Product 1416 Rolled Up Cost: 12.8656
Product 1417 Rolled Up Cost: 13.5364
Product 1418 Rolled Up Cost: 1.5136
Product 1419 Rolled Up Cost: 7.7744
Product 1420 Rolled Up Cost: 191.646
Product 1421 Rolled Up Cost: 42.1824
Product 1422 Rolled Up Cost: 2.0984
Product 1423 Rolled Up Cost: 5.9684
Product 1424 Rolled Up Cost: 27.7641
Product 1425 Rolled Up Cost: 18.662
Product 1426 Rolled Up Cost: 0.0
Product 1427 Rolled Up Cost: 0.0
Product 1428 Rolled Up Cost: 0.0
Product 1429 Rolled Up Cost: 690.8
Product 1430 Rolled Up Cost: 177.051
Product 1431 Rolled Up Cost: 688.8
Product 1432 Rolled Up Cost: 3581.16
Product 1433 Rolled Up Cost: 774.418
Product 1434 Rolled Up Cost: 0.0527
Product 1435 Rolled Up Cost: 1.5609
Product 1436 Rolled Up Cost: 0.0
Product 1437 Rolled Up Cost: 112.1526
Product 1438 Rolled Up Cost: 115.1196
Product 1439 Rolled Up Cost: 0.0
Product 1444 Rolled Up Cost: 2.1
Product 1445 Rolled Up Cost: 3.2884
Product 1446 Rolled Up Cost: 1.72
Product 1447 Rolled Up Cost: 0.0
Product 1448 Rolled Up Cost: 0.0
Product 1449 Rolled Up Cost: 0.0
Product 1450 Rolled Up Cost: 0.0
Product 1451 Rolled Up Cost: 0.0
Product 1452 Rolled Up Cost: 0.0
Product 1453 Rolled Up Cost: 0.0
Product 1454 Rolled Up Cost: 0.0
Product 1455 Rolled Up Cost: 0.0
Product 1456 Rolled Up Cost: 0.0
Product 1457 Rolled Up Cost: 0.0
Product 1458 Rolled Up Cost: 0.0
Product 1460 Rolled Up Cost: 0.8451
Product 1461 Rolled Up Cost: 0.376
Product 1462 Rolled Up Cost: 0.5586
Product 1463 Rolled Up Cost: 0.9507
Product 1464 Rolled Up Cost: 0.0
Product 1465 Rolled Up Cost: 0.0
Product 1466 Rolled Up Cost: 42.79
Product 1467 Rolled Up Cost: 38.18
Product 1468 Rolled Up Cost: 49.09
Product 1469 Rolled Up Cost: 57.27
Product 1470 Rolled Up Cost: 68.55
Product 1471 Rolled Up Cost: 86.19
Product 1472 Rolled Up Cost: 68.55
Product 1473 Rolled Up Cost: 0.0
Product 1474 Rolled Up Cost: 55.2292
Product 1475 Rolled Up Cost: 134.7959
Product 1476 Rolled Up Cost: 92.794
Product 1477 Rolled Up Cost: 54.5412
Product 1478 Rolled Up Cost: 0.0
Product 1479 Rolled Up Cost: 10.75
Product 1480 Rolled Up Cost: 0.0
Product 1481 Rolled Up Cost: 42.81
Product 1482 Rolled Up Cost: 65.87
Product 1483 Rolled Up Cost: 10.31
Product 1484 Rolled Up Cost: 124.75
Product 1485 Rolled Up Cost: 8.648
Product 1486 Rolled Up Cost: 0.0
Product 1487 Rolled Up Cost: 14.0352
Product 1488 Rolled Up Cost: 0.0
Product 1489 Rolled Up Cost: 0.0
Product 1490 Rolled Up Cost: 0.0
Product 1491 Rolled Up Cost: 43.8371
Product 1492 Rolled Up Cost: 0.0
Product 1495 Rolled Up Cost: 0.0
Product 1496 Rolled Up Cost: 0.0
Product 1497 Rolled Up Cost: 0.0
Product 1498 Rolled Up Cost: 0.0
Product 1499 Rolled Up Cost: 17.3298
Product 1500 Rolled Up Cost: 19.0735
