Item No.,Description,Current Unit Cost (LCY),Item Replenishment System,Base Unit of Measure,Production BOM No.,Status,Type,No.,Description1,Quantity per,BOM Unit of Measure Code,Line Item Replenishment System,BOM Unit Cost (LCY)
1692,50MM DIA SASH WEIGHT X 21.5LB,0.00,Prod. Order,EA,1692,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1693,50MM DIA SASH WEIGHT X 22.0LB,0.00,Prod. Order,EA,1693,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1694,50MM DIA SASH WEIGHT X 22.5LB,0.00,Prod. Order,EA,1694,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1695,50MM DIA SASH WEIGHT X 23.0LB,0.00,Prod. Order,EA,1695,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1696,50MM DIA SASH WEIGHT X 23.5LB,0.00,Prod. Order,EA,1696,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1697,50MM DIA SASH WEIGHT X 24.0LB,0.00,Prod. Order,EA,1697,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1698,50MM DIA SASH WEIGHT X 24.5LB,0.00,Prod. Order,EA,1698,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1699,50MM DIA SASH WEIGHT X 25.0LB,0.00,Prod. Order,EA,1699,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1700,50MM DIA SASH WEIGHT X 25.5LB,0.00,Prod. Order,EA,1700,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1701,50MM DIA SASH WEIGHT X 26.0LB,0.00,Prod. Order,EA,1701,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1702,50MM DIA SASH WEIGHT X 26.5LB,0.00,Prod. Order,EA,1702,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1703,50MM DIA SASH WEIGHT X 27.0LB,0.00,Prod. Order,EA,1703,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1704,50MM DIA SASH WEIGHT X 27.5LB,0.00,Prod. Order,EA,1704,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1705,50MM DIA SASH WEIGHT X 28.0LB,0.00,Prod. Order,EA,1705,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1706,50MM DIA SASH WEIGHT X 28.5LB,0.00,Prod. Order,EA,1706,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1707,50MM DIA SASH WEIGHT X 29.0LB,0.00,Prod. Order,EA,1707,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1708,50MM DIA SASH WEIGHT X 29.5LB,0.00,Prod. Order,EA,1708,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1709,50MM DIA SASH WEIGHT X 30.0LB,0.00,Prod. Order,EA,1709,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1710,50MM DIA SASH WEIGHT X 30.5LB,0.00,Prod. Order,EA,1710,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1711,50MM DIA SASH WEIGHT X 31.0LB,0.00,Prod. Order,EA,1711,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1712,50MM DIA SASH WEIGHT X 31.5LB,0.00,Prod. Order,EA,1712,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1713,50MM DIA SASH WEIGHT X 32.0LB,0.00,Prod. Order,EA,1713,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1714,50MM DIA SASH WEIGHT X 32.5LB,0.00,Prod. Order,EA,1714,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1715,50MM DIA SASH WEIGHT X 33.0LB,0.00,Prod. Order,EA,1715,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1716,50MM DIA SASH WEIGHT X 36.0LB,0.00,Prod. Order,EA,1716,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1717,50MM DIA SASH WEIGHT X 36.5LB,0.00,Prod. Order,EA,1717,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1718,50MM DIA SASH WEIGHT X 38.0LB,0.00,Prod. Order,EA,1718,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1719,50MM DIA SASH WEIGHT X 38.5LB,0.00,Prod. Order,EA,1719,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1720,50MM DIA SASH WEIGHT X 39.0LB,0.00,Prod. Order,EA,1720,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1721,50MM DIA SASH WEIGHT X 42.0LB,0.00,Prod. Order,EA,1721,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1722,50MM DIA SASH WEIGHT X 43.0LB,0.00,Prod. Order,EA,1722,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1723,50MM DIA SASH WEIGHT X 43.5LB,0.00,Prod. Order,EA,1723,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1724,50MM DIA SASH WEIGHT X 47.0LB,0.00,Prod. Order,EA,1724,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1725,50MM DIA SASH WEIGHT X 50.0LB,0.00,Prod. Order,EA,1725,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1726,50MM DIA SASH WEIGHT X 50.5LB,0.00,Prod. Order,EA,1726,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1727,50MM DIA SASH WEIGHT X 8.0LB,0.00,Prod. Order,EA,1727,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1728,50MM DIA SASH WEIGHT X 9.0LB,0.00,Prod. Order,EA,1728,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1729,50MM DIA SASH WEIGHT X 9.5LB,0.00,Prod. Order,EA,1729,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1730,50MM DIA SASH WEIGHT X5.0LB,0.00,Prod. Order,EA,1730,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1731,50MM DIA SASH WEIGHT X5.5LB,0.00,Prod. Order,EA,1731,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1732,50MM DIA SASH WEIGHT X6.0LB,0.00,Prod. Order,EA,1732,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1733,50MM DIA SASH WEIGHT X7.0LB,0.00,Prod. Order,EA,1733,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1734,50MM DIA SASH WEIGHT X7.5LB,0.00,Prod. Order,EA,1734,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1735,50MM DIA SASH WEIGHT X8.5LB,0.00,Prod. Order,EA,1735,Under Development,Item,1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,1.,EA,Purchase,0.46
1736,50MM SQ SASH WEIGHT X 10.0LB,0.00,Prod. Order,EA,1736,Under Development,Item,1302,LEAD SASH,4.54,KG,Purchase,1.70
1737,50MM SQ SASH WEIGHT X 11.0LB,0.00,Prod. Order,EA,1737,Under Development,Item,1302,LEAD SASH,4.99,KG,Purchase,1.70
1738,50MM SQ SASH WEIGHT X 11.5LB,0.00,Prod. Order,EA,1738,Under Development,Item,1302,LEAD SASH,5.22,KG,Purchase,1.70
1739,50MM SQ SASH WEIGHT X 12.0LB,0.00,Prod. Order,EA,1739,Under Development,Item,1302,LEAD SASH,5.44,KG,Purchase,1.70
1740,50MM SQ SASH WEIGHT X 13.0LB,0.00,Prod. Order,EA,1740,Under Development,Item,1302,LEAD SASH,5.9,KG,Purchase,1.70
1741,50MM SQ SASH WEIGHT X 14.0LB,0.00,Prod. Order,EA,1741,Under Development,Item,1302,LEAD SASH,6.35,KG,Purchase,1.70
1742,50MM SQ SASH WEIGHT X 15.0LB,0.00,Prod. Order,EA,1742,Under Development,Item,1302,LEAD SASH,6.8,KG,Purchase,1.70
1743,50MM SQ SASH WEIGHT X 15.5LB,0.00,Prod. Order,EA,1743,Under Development,Item,1302,LEAD SASH,7.03,KG,Purchase,1.70
1744,50MM SQ SASH WEIGHT X 16.0LB,0.00,Prod. Order,EA,1744,Under Development,Item,1302,LEAD SASH,7.26,KG,Purchase,1.70
1745,50MM SQ SASH WEIGHT X 16.5LB,0.00,Prod. Order,EA,1745,Under Development,Item,1302,LEAD SASH,7.48,KG,Purchase,1.70
1746,50MM SQ SASH WEIGHT X 17.0LB,0.00,Prod. Order,EA,1746,Under Development,Item,1302,LEAD SASH,7.71,KG,Purchase,1.70
1747,50MM SQ SASH WEIGHT X 17.5LB,0.00,Prod. Order,EA,1747,Under Development,Item,1302,LEAD SASH,7.94,KG,Purchase,1.70
1748,50MM SQ SASH WEIGHT X 18.0LB,0.00,Prod. Order,EA,1748,Under Development,Item,1302,LEAD SASH,8.16,KG,Purchase,1.70
1749,50MM SQ SASH WEIGHT X 18.5LB,0.00,Prod. Order,EA,1749,Under Development,Item,1302,LEAD SASH,8.39,KG,Purchase,1.70
1750,50MM SQ SASH WEIGHT X 19.0LB,0.00,Prod. Order,EA,1750,Under Development,Item,1302,LEAD SASH,8.62,KG,Purchase,1.70
1751,50MM SQ SASH WEIGHT X 20.0LB,0.00,Prod. Order,EA,1751,Under Development,Item,1302,LEAD SASH,9.07,KG,Purchase,1.70
1752,50MM SQ SASH WEIGHT X 20.5LB,0.00,Prod. Order,EA,1752,Under Development,Item,1302,LEAD SASH,9.3,KG,Purchase,1.70
1753,50MM SQ SASH WEIGHT X 21.5LB,0.00,Prod. Order,EA,1753,Under Development,Item,1302,LEAD SASH,9.75,KG,Purchase,1.70
1754,50MM SQ SASH WEIGHT X 22.0LB,0.00,Prod. Order,EA,1754,Under Development,Item,1302,LEAD SASH,9.98,KG,Purchase,1.70
1755,50MM SQ SASH WEIGHT X 22.5LB,0.00,Prod. Order,EA,1755,Under Development,Item,1302,LEAD SASH,10.21,KG,Purchase,1.70
1756,50MM SQ SASH WEIGHT X 23.0LB,0.00,Prod. Order,EA,1756,Under Development,Item,1302,LEAD SASH,10.43,KG,Purchase,1.70
1757,50MM SQ SASH WEIGHT X 24.0LB,0.00,Prod. Order,EA,1757,Under Development,Item,1302,LEAD SASH,10.89,KG,Purchase,1.70
1758,50MM SQ SASH WEIGHT X 26.0LB,0.00,Prod. Order,EA,1758,Under Development,Item,1302,LEAD SASH,11.8,KG,Purchase,1.70
1759,50MM SQ SASH WEIGHT X 27.0LB,0.00,Prod. Order,EA,1759,Under Development,Item,1302,LEAD SASH,12.25,KG,Purchase,1.70
1760,50MM SQ SASH WEIGHT X 30.5LB,0.00,Prod. Order,EA,1760,Under Development,Item,1302,LEAD SASH,13.83,KG,Purchase,1.70
1761,50MM SQ SASH WEIGHT X 31.0LB,0.00,Prod. Order,EA,1761,Under Development,Item,1302,LEAD SASH,14.06,KG,Purchase,1.70
1762,50MM SQ SASH WEIGHT X 32.0LB,0.00,Prod. Order,EA,1762,Under Development,Item,1302,LEAD SASH,14.52,KG,Purchase,1.70
1763,50MM SQ SASH WEIGHT X 33.0LB,0.00,Prod. Order,EA,1763,Under Development,Item,1302,LEAD SASH,14.97,KG,Purchase,1.70
1764,50MM SQ SASH WEIGHT X 34.0LB,0.00,Prod. Order,EA,1764,Under Development,Item,1302,LEAD SASH,15.42,KG,Purchase,1.70
1765,50MM SQ SASH WEIGHT X 35.0LB,0.00,Prod. Order,EA,1765,Under Development,Item,1302,LEAD SASH,15.88,KG,Purchase,1.70
1766,50MM SQ SASH WEIGHT X 36.0LB,0.00,Prod. Order,EA,1766,Under Development,Item,1302,LEAD SASH,16.32,KG,Purchase,1.70
1767,50MM SQ SASH WEIGHT X 37.0LB,0.00,Prod. Order,EA,1767,Under Development,Item,1302,LEAD SASH,16.77,KG,Purchase,1.70
1768,50MM SQ SASH WEIGHT X 39.0LB,0.00,Prod. Order,EA,1768,Under Development,Item,1302,LEAD SASH,17.69,KG,Purchase,1.70
1769,50MM SQ SASH WEIGHT X 40.0LB,0.00,Prod. Order,EA,1769,Under Development,Item,1302,LEAD SASH,18.14,KG,Purchase,1.70
1770,50MM SQ SASH WEIGHT X 400MM,0.00,Prod. Order,EA,1770,Under Development,Item,1302,LEAD SASH,10.87,KG,Purchase,1.70
1771,50MM SQ SASH WEIGHT X 41.0LB,0.00,Prod. Order,EA,1771,Under Development,Item,1302,LEAD SASH,18.56,KG,Purchase,1.70
1772,50MM SQ SASH WEIGHT X 42.0LB,0.00,Prod. Order,EA,1772,Under Development,Item,1302,LEAD SASH,19.05,KG,Purchase,1.70
1773,50MM SQ SASH WEIGHT X 43.0LB,0.00,Prod. Order,EA,1773,Under Development,Item,1302,LEAD SASH,19.5,KG,Purchase,1.70
1774,50MM SQ SASH WEIGHT X 44.0LB,0.00,Prod. Order,EA,1774,Under Development,Item,1302,LEAD SASH,19.96,KG,Purchase,1.70
1775,50MM SQ SASH WEIGHT X 45.0LB,0.00,Prod. Order,EA,1775,Under Development,Item,1302,LEAD SASH,20.41,KG,Purchase,1.70
1776,50MM SQ SASH WEIGHT X 46.0LB,0.00,Prod. Order,EA,1776,Under Development,Item,1302,LEAD SASH,20.87,KG,Purchase,1.70
1777,50MM SQ SASH WEIGHT X 47.0LB,0.00,Prod. Order,EA,1777,Under Development,Item,1302,LEAD SASH,21.32,KG,Purchase,1.70
1778,50MM SQ SASH WEIGHT X 48.0LB,0.00,Prod. Order,EA,1778,Under Development,Item,1302,LEAD SASH,21.77,KG,Purchase,1.70
1779,50MM SQ SASH WEIGHT X 49.0LB,0.00,Prod. Order,EA,1779,Under Development,Item,1302,LEAD SASH,22.23,KG,Purchase,1.70
1780,50MM SQ SASH WEIGHT X 50.0LB,0.00,Prod. Order,EA,1780,Under Development,Item,1302,LEAD SASH,22.68,KG,Purchase,1.70
1781,50MM SQ SASH WEIGHT X 500MM,0.00,Prod. Order,EA,1781,Under Development,Item,1302,LEAD SASH,13.59,KG,Purchase,1.70
1782,50MM SQ SASH WEIGHT X 53.0LB,0.00,Prod. Order,EA,1782,Under Development,Item,1302,LEAD SASH,24.04,KG,Purchase,1.70
1783,50MM SQ SASH WEIGHT X 55.0LB,0.00,Prod. Order,EA,1783,Under Development,Item,1302,LEAD SASH,24.95,KG,Purchase,1.70
1784,50MM SQ SASH WEIGHT X 6.0LB,0.00,Prod. Order,EA,1784,Under Development,Item,1302,LEAD SASH,2.72,KG,Purchase,1.70
1785,50MM SQ SASH WEIGHT X 6.5LB,0.00,Prod. Order,EA,1785,Under Development,Item,1302,LEAD SASH,2.95,KG,Purchase,1.70
1786,50MM SQ SASH WEIGHT X 60.0LB,0.00,Prod. Order,EA,1786,Under Development,Item,1302,LEAD SASH,27.22,KG,Purchase,1.70
1787,50MM SQ SASH WEIGHT X 62.0LB,0.00,Prod. Order,EA,1787,Under Development,Item,1302,LEAD SASH,28.12,KG,Purchase,1.70
1788,50MM SQ SASH WEIGHT X 63.0LB,0.00,Prod. Order,EA,1788,Under Development,Item,1302,LEAD SASH,28.58,KG,Purchase,1.70
1789,50MM SQ SASH WEIGHT X 64.0LB,0.00,Prod. Order,EA,1789,Under Development,Item,1302,LEAD SASH,29.04,KG,Purchase,1.70
1790,50MM SQ SASH WEIGHT X 65.0LB,0.00,Prod. Order,EA,1790,Under Development,Item,1302,LEAD SASH,29.48,KG,Purchase,1.70
1791,50MM SQ SASH WEIGHT X 66.0LB,0.00,Prod. Order,EA,1791,Under Development,Item,1302,LEAD SASH,29.94,KG,Purchase,1.70
1792,50MM SQ SASH WEIGHT X 67.0LB,0.00,Prod. Order,EA,1792,Under Development,Item,1302,LEAD SASH,30.4,KG,Purchase,1.70
1793,50MM SQ SASH WEIGHT X 7.0LB,0.00,Prod. Order,EA,1793,Under Development,Item,1302,LEAD SASH,3.18,KG,Purchase,1.70
1794,50MM SQ SASH WEIGHT X 7.5LB,0.00,Prod. Order,EA,1794,Under Development,Item,1302,LEAD SASH,3.4,KG,Purchase,1.70
1795,50MM SQ SASH WEIGHT X 8.5LB,0.00,Prod. Order,EA,1795,Under Development,Item,1302,LEAD SASH,3.86,KG,Purchase,1.70
1796,50MM SQ SASH WEIGHT X 9.0LB,0.00,Prod. Order,EA,1796,Under Development,Item,1302,LEAD SASH,4.08,KG,Purchase,1.70
1797,50MM X 25MM REC SASH WEIGHT X 10.5LB,0.00,Prod. Order,EA,1797,Under Development,Item,1302,LEAD SASH,4.76,KG,Purchase,1.70
1798,50MM X 25MM REC SASH WEIGHT X 13.0LB,9.28,Prod. Order,EA,1798,Certified,Item,1302,LEAD SASH,5.9,KG,Purchase,1.70
1799,50MM X 25MM REC SASH WEIGHT X 13.5LB,0.00,Prod. Order,EA,1799,Under Development,Item,1302,LEAD SASH,6.12,KG,Purchase,1.70
1800,50MM X 25MM REC SASH WEIGHT X 14.5LB,0.00,Prod. Order,EA,1800,Under Development,Item,1302,LEAD SASH,6.58,KG,Purchase,1.70
1801,50MM X 25MM REC SASH WEIGHT X 15.0LB,0.00,Prod. Order,EA,1801,Under Development,Item,1302,LEAD SASH,6.8,KG,Purchase,1.70
1802,50MM X 25MM REC SASH WEIGHT X 16.0LB,0.00,Prod. Order,EA,1802,Under Development,Item,1302,LEAD SASH,7.26,KG,Purchase,1.70
1803,50MM X 25MM REC SASH WEIGHT X 16.5LB,0.00,Prod. Order,EA,1803,Under Development,Item,1302,LEAD SASH,7.48,KG,Purchase,1.70
1804,50MM X 25MM REC SASH WEIGHT X 17.0LB,0.00,Prod. Order,EA,1804,Under Development,Item,1302,LEAD SASH,7.71,KG,Purchase,1.70
1805,50MM X 25MM REC SASH WEIGHT X 19.5LB,0.00,Prod. Order,EA,1805,Under Development,Item,1302,LEAD SASH,8.85,KG,Purchase,1.70
1806,50MM X 25MM REC SASH WEIGHT X 20.0LB,0.00,Prod. Order,EA,1806,Under Development,Item,1302,LEAD SASH,9.07,KG,Purchase,1.70
1807,50MM X 25MM REC SASH WEIGHT X 20.5LB,0.00,Prod. Order,EA,1807,Under Development,Item,1302,LEAD SASH,9.3,KG,Purchase,1.70
1808,50MM X 25MM REC SASH WEIGHT X 22.5LB,0.00,Prod. Order,EA,1808,Under Development,Item,1302,LEAD SASH,10.21,KG,Purchase,1.70
1809,50MM X 25MM REC SASH WEIGHT X 23.0LB,0.00,Prod. Order,EA,1809,Under Development,Item,1302,LEAD SASH,10.43,KG,Purchase,1.70
1810,50MM X 25MM REC SASH WEIGHT X 9.5LB,0.00,Prod. Order,EA,1810,Under Development,Item,1302,LEAD SASH,4.31,KG,Purchase,1.70
1811,50MM X 35MM REC SASH WEIGHT X 25.5LB,0.00,Prod. Order,EA,1811,Under Development,Item,1302,LEAD SASH,11.57,KG,Purchase,1.70
1812,8 OFF WINDOWS NON LEADED FL1403 CUFFE,0.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1813,99.985% LEAD CATHODE BASE PLATE TO DWG 003926 ISSUE 5,0.00,Prod. Order,EA,1813,Under Development,Item,1297,LEAD CHEMA,6.188,KG,Purchase,1.51
1814,ALLOY 0.8%SB,0.00,Prod. Order,KG,1814,Certified,Item,1823,ALLOY 8.5%SB,0.094,KG,Prod. Order,0.47
1814,ALLOY 0.8%SB,0.00,Prod. Order,KG,1814,Certified,Item,1005,LEAD CHEMB,0.906,KG,Purchase,1.72
1815,ALLOY 0.9%SB,0.00,Prod. Order,KG,1815,Certified,Item,1823,ALLOY 8.5%SB,0.106,KG,Prod. Order,0.47
1815,ALLOY 0.9%SB,0.00,Prod. Order,KG,1815,Certified,Item,1005,LEAD CHEMB,0.894,KG,Purchase,1.72
1816,ALLOY 3%SB,0.00,Prod. Order,KG,1816,Certified,Item,1823,ALLOY 8.5%SB,0.3529,KG,Prod. Order,0.47
1816,ALLOY 3%SB,0.00,Prod. Order,KG,1816,Certified,Item,1005,LEAD CHEMB,0.6471,KG,Purchase,1.72
1817,ALLOY 4%SB,0.72,Prod. Order,KG,1817,Certified,Item,1823,ALLOY 8.5%SB,0.4706,KG,Prod. Order,0.47
1817,ALLOY 4%SB,0.72,Prod. Order,KG,1817,Certified,Item,1005,LEAD CHEMB,0.5294,KG,Purchase,1.72
1818,ALLOY 4%SN,0.00,Prod. Order,KG,1818,Under Development, ,,,0.,,Purchase,0.00
1819,ALLOY 4.5%SB,0.00,Prod. Order,KG,1819,Certified,Item,1823,ALLOY 8.5%SB,0.5294,KG,Prod. Order,0.47
1819,ALLOY 4.5%SB,0.00,Prod. Order,KG,1819,Certified,Item,1005,LEAD CHEMB,0.4706,KG,Purchase,1.72
1820,ALLOY 6%SB 0.5%AG,0.00,Prod. Order,KG,1820,Under Development, ,,,0.,,Purchase,0.00
1821,ALLOY 6%SB 0.5%AG ANODE ELEMENTS TYPE 200,0.00,Prod. Order,EA,1821,Certified,Item,1820,ALLOY 6%SB 0.5%AG,9.675,KG,Prod. Order,0.00
1822,ALLOY 6.0%SB 0.5%AG,0.00,Prod. Order,KG,1822,Certified,Item,1279,LEAD 100%AG,0.005,KG,Purchase,600.34
1822,ALLOY 6.0%SB 0.5%AG,0.00,Prod. Order,KG,1822,Certified,Item,1194,ALLOY 6%SB,0.995,KG,Prod. Order,1.72
1823,ALLOY 8.5%SB,0.47,Prod. Order,KG,1823,Certified,Item,1278,LEAD 10%SB,0.85,KG,Purchase,1.50
1823,ALLOY 8.5%SB,0.47,Prod. Order,KG,1823,Certified,Item,1005,LEAD CHEMB,0.15,KG,Purchase,1.72
1824,ANODE ANTUCOYA 5605,0.00,Prod. Order,EA,1824,Under Development,Item,2377,CAST BAR ANTUCOYA 5605,1.,EA,Prod. Order,0.00
1825,ANODE ATLANTIC COPPER 3441,0.00,Prod. Order,EA,1825,Under Development,Item,3269,WOODEN EXPORT CRATE - ATLANTIC ANODES 34441,0.,EA,Purchase,0.00
1826,ANODE ATLANTIC COPPER 3482,0.00,Prod. Order,EA,1826,Under Development,Item,3270,WOODEN EXPORT CRATE - ATLANTIC ANODES 3482,0.,EA,Purchase,0.00
1827,ANODE AURUBIS 3356,0.00,Prod. Order,EA,1827,Under Development,Item,3230,WELD STRIP 5.5%SB DIAMETER 11.75MM,2.,KG,Prod. Order,0.00
1828,ANODE AURUBIS 5608,0.00,Prod. Order,EA,1828,Under Development,Item,2381,CAST BAR AURUBIS 5608,1.,EA,Prod. Order,0.00
1829,ANODE AURUBIS 5610,0.00,Prod. Order,EA,1829,Under Development,Item,2382,CAST BAR AURUBIS 5610,1.,EA,Prod. Order,0.00
1830,ANODE BOLIDEN 3405,0.00,Prod. Order,EA,1830,Under Development,Item,3230,WELD STRIP 5.5%SB DIAMETER 11.75MM,2.,KG,Prod. Order,0.00
1831,ANODE CASNPB DRG. 5587 REV 1,0.00,Prod. Order,EA,1831,Under Development, ,,,0.,,Purchase,0.00
1832,ANODE CHIYODA 3522,0.00,Prod. Order,EA,1832,Under Development,Item,2384,CAST BAR CHIYODA 3522,1.,EA,Prod. Order,0.00
1833,ANODE CHIYODA 3522 EW0 - NO ADDITIONAL HOLES,0.00,Prod. Order,EA,1833,Under Development,Item,3273,WOODEN EXPORT CRATE - CHIYODA ANODES,0.,EA,Purchase,0.00
1834,ANODE CHIYODA 3522 EW1 - WITH ADDITIONAL HOLES,0.00,Prod. Order,EA,1834,Under Development,Item,3273,WOODEN EXPORT CRATE - CHIYODA ANODES,0.,EA,Purchase,0.00
1835,ANODE EPCM 5552,0.00,Prod. Order,EA,1835,Under Development,Item,2385,CAST BAR EPCM 5552,1.,EA,Prod. Order,0.00
1836,ANODE FLORENCE 5566,0.00,Prod. Order,EA,1836,Under Development,Item,2386,CAST BAR FLORENCE 5566,1.,EA,Prod. Order,0.00
1837,ANODE KCC EW2 3412,0.00,Prod. Order,EA,1837,Under Development,Item,2387,CAST BAR KCC EW2 3412.1,1.,EA,Prod. Order,0.00
1838,ANODE KYZYL ARAY PROJECT DRG. 5589,0.00,Prod. Order,EA,1838,Under Development,Item,3267,WOODEN EXPORT CRATE -  MO KYZYL ANODES,0.,EA,Purchase,0.00
1839,ANODE LISBON VALLEY DRG 5554,0.00,Prod. Order,EA,1839,Under Development,Item,3278,WOODEN EXPORT CRATE - LISBON ANODES,0.,EA,Purchase,0.00
1840,ANODE MASKEW 5564,0.00,Prod. Order,EA,1840,Under Development,Item,2390,CAST BAR MASKEW 5564.1,1.,EA,Prod. Order,0.00
1841,ANODE MIMBULA 5587,0.00,Prod. Order,EA,1841,Under Development,Item,3280,WOODEN EXPORT CRATE - MIMBULA ANODES,0.,EA,Purchase,0.00
1842,ANODE MUTANDA 3429,0.00,Prod. Order,EA,1842,Under Development, ,,,0.,,Purchase,0.00
1843,ANODE MUTOSHI 5565,0.00,Prod. Order,EA,1843,Under Development,Item,2393,CAST BAR MUTOSHI 5565.1,1.,EA,Prod. Order,0.00
1844,ANODE NORNICKEL 5616,0.00,Prod. Order,EA,1844,Under Development,Item,2394,CAST BAR NORNICKEL 5616,1.,EA,Prod. Order,0.00
1845,ANODE OUTOTEC SILVER 3530,0.00,Prod. Order,EA,1845,Under Development,Item,3231,WELD STRIP CHEMB DIAMETER 11.75MM,1.2,KG,Prod. Order,0.00
1846,ANODE OUTOTEC SILVER 3530 - BOX REPAIR,0.00,Prod. Order,EA,1846,Under Development, ,,,0.,,Purchase,0.00
1847,ANODE TATA WB613/25,0.00,Prod. Order,EA,1847,Under Development,Item,3229,WELD STRIP 4%SB 2%SN DIAMETER 11.75MM,15.,KG,Prod. Order,0.00
1848,ANODE TATA WB613/26,0.00,Prod. Order,EA,1848,Certified,Item,3229,WELD STRIP 4%SB 2%SN DIAMETER 11.75MM,15.,KG,Prod. Order,0.00
1848,ANODE TATA WB613/26,0.00,Prod. Order,EA,1848,Certified,Item,3312,Blade TATA WB613/26,1.,EA,Prod. Order,0.00
1848,ANODE TATA WB613/26,0.00,Prod. Order,EA,1848,Certified,Item,3313,Bar TATA WB613/26,100.,KG,Prod. Order,0.00
1849,BAE CUT BLOCK,0.00,Purchase,KG,,New, ,,,0.,,Purchase,0.00
