Item No.,Description,Current Unit Cost (LCY),Item Replenishment System,Base Unit of Measure,Production BOM No.,Status,Type,No.,Description1,Quantity per,BOM Unit of Measure Code,Line Item Replenishment System,BOM Unit Cost (LCY)
1034,FLS-BLANKET BSEN 910MM x 650MM,98.00,Prod. Order,EA,1034,Certified,Item,1288,LEAD BOBBIN 1.0MM,6.142,KG,Purchase,1.80
1035,LDM 0.6MM X 3000MM X 1000MM,37.27,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1036,4% ANTIMONIAL LEAD BEAM STOP ASSY TO DRG. R-23211344,366.40,Prod. Order,EA,1036,Under Development,Item,1817,ALLOY 4%SB,"1,887.",KG,Prod. Order,0.72
1037,4% ANTIMONIAL LEAD BEAM STOP ASSY TO DRG. R-23259123,456.00,Prod. Order,EA,1037,Certified,Item,1817,ALLOY 4%SB,371.,KG,Prod. Order,0.72
1038,SHAWCOR-PO1124749,0.00,Prod. Order,EA,1038,Certified,Item,1283,LEAD 4%SB,"4,059.",KG,Purchase,1.57
1039,STEEL BOX 490X510X760 INC M24 GRADE 80 DIN 580 PROTRUDING FROM THE TOP SURFACE,695.00,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1184,101033122-1-R01 RADIATION COVER,4.57,Prod. Order,EA,1184,Certified,Item,3322,101033122-1-R01 RAD COVER BLANK,1.,EA,Prod. Order,5.15
1185,"2 1/4"" (56MM) LEAD FUNNELS",1.72,Prod. Order,EA,1185,Certified,Item,1005,LEAD CHEMB,0.535,KG,Purchase,1.72
1186,"2"" (50MM) LEAD FUNNELS",0.84,Prod. Order,EA,1186,Certified,Item,1005,LEAD CHEMB,0.5483,KG,Purchase,1.72
1187,32MM SQ SASH WEIGHT X 1500MM,34.52,Prod. Order,EA,1187,Under Development,Item,1542,BILLET SASH ,0.2484,EA,Prod. Order,97.41
1188,38MM SQ SASH WEIGHT X 1500MM,38.71,Prod. Order,EA,1188,Certified,Item,1542,BILLET SASH ,0.3619,EA,Prod. Order,97.41
1189,AEBM06 EYEBOLT FOR SASHWEIGHTS,0.46,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1190,ALLOY 1%SB,1.69,Prod. Order,KG,1190,Certified,Item,1278,LEAD 10%SB,0.1,KG,Purchase,1.50
1190,ALLOY 1%SB,1.69,Prod. Order,KG,1190,Certified,Item,1005,LEAD CHEMB,0.9,KG,Purchase,1.72
1191,ALLOY 2%SB,1.79,Prod. Order,KG,1191,Certified,Item,1823,ALLOY 8.5%SB,0.2353,KG,Prod. Order,0.47
1191,ALLOY 2%SB,1.79,Prod. Order,KG,1191,Certified,Item,1005,LEAD CHEMB,0.7647,KG,Purchase,1.72
1192,ALLOY 4%SB 2%SN,2.35,Prod. Order,KG,1192,Certified,Item,1280,LEAD 100%SN,0.02,KG,Purchase,22.39
1193,ALLOY 5.5%SB,1.97,Prod. Order,KG,1193,Certified,Item,1823,ALLOY 8.5%SB,0.6471,KG,Prod. Order,0.47
1193,ALLOY 5.5%SB,1.97,Prod. Order,KG,1193,Certified,Item,1005,LEAD CHEMB,0.3529,KG,Purchase,1.72
1194,ALLOY 6%SB,1.72,Prod. Order,KG,1194,Certified,Item,1823,ALLOY 8.5%SB,0.7059,KG,Prod. Order,0.47
1194,ALLOY 6%SB,1.72,Prod. Order,KG,1194,Certified,Item,1005,LEAD CHEMB,0.2941,KG,Purchase,1.72
1195,ALLOY 7%SN,2.45,Prod. Order,KG,1195,Under Development, ,,,0.,,Purchase,0.00
1196,BONDED 12.5MM PLASTERBOARD CODE 3 (1.32MM) 2400MM X 600MM,41.29,Prod. Order,EA,1196,Certified,Item,1210,BSEN SHEET CODE 3 (1.32MM) 2390MM X 590MM,1.,EA,Purchase,37.79
1196,BONDED 12.5MM PLASTERBOARD CODE 3 (1.32MM) 2400MM X 600MM,41.29,Prod. Order,EA,1196,Certified,Item,1308,PLASTERBOARD 12.5MM X 2400MM X 1200MM,0.5,EA,Purchase,7.95
1197,BONDED 12.5MM PLASTERBOARD CODE 4 (1.8MM) 2400MM X 600MM,58.45,Prod. Order,EA,1197,Certified,Item,1217,BSEN SHEET CODE 4 (1.8MM) 2390MM X 590MM,1.,EA,Purchase,55.12
1197,BONDED 12.5MM PLASTERBOARD CODE 4 (1.8MM) 2400MM X 600MM,58.45,Prod. Order,EA,1197,Certified,Item,1308,PLASTERBOARD 12.5MM X 2400MM X 1200MM,0.5,EA,Purchase,7.95
1198,BONDED 12.5MM PLASTERBOARD CODE 5 (2.24MM) 2400MM X 600MM,73.91,Prod. Order,EA,1198,Certified,Item,1015,BSEN SHEET CODE 5 (2.24MM) 2390MM X 590MM,1.,EA,Purchase,68.55
1198,BONDED 12.5MM PLASTERBOARD CODE 5 (2.24MM) 2400MM X 600MM,73.91,Prod. Order,EA,1198,Certified,Item,1308,PLASTERBOARD 12.5MM X 2400MM X 1200MM,0.5,EA,Purchase,7.95
1199,BONDED 12.5MM PLASTERBOARD SDB CODE 3 (1.32MM) 1200MM X 600MM,30.31,Prod. Order,EA,1199,Certified,Item,1931,BONDED 12.5MM PLASTERBOARD SDB CODE 3 (1.32MM) 2400MM X 600MM,1.,EA,Prod. Order,0.00
1200,BONDED 12MM PLYWOOD CODE 3 (1.32MM) 2400MM X 600MM,49.29,Prod. Order,EA,1200,Certified,Item,1210,BSEN SHEET CODE 3 (1.32MM) 2390MM X 590MM,1.,EA,Purchase,37.79
1200,BONDED 12MM PLYWOOD CODE 3 (1.32MM) 2400MM X 600MM,49.29,Prod. Order,EA,1200,Certified,Item,1566,PLYWOOD 12MM X 2400MM X 600MM,1.,EA,Purchase,10.75
1201,BONDED 12MM PLYWOOD CODE 6 (2.65MM) 2400MM X 600MM,93.06,Prod. Order,EA,1201,Certified,Item,1239,BSEN SHEET CODE 6 (2.65MM) 2390MM X 590MM,1.,EA,Purchase,79.87
1201,BONDED 12MM PLYWOOD CODE 6 (2.65MM) 2400MM X 600MM,93.06,Prod. Order,EA,1201,Certified,Item,1566,PLYWOOD 12MM X 2400MM X 600MM,1.,EA,Purchase,10.75
1202,BONDED 25MM PLYWOOD CODE 3 (1.32MM) 2400MM X 50MM,4.93,Prod. Order,EA,1202,Certified,Item,2049,BONDED 25MM PLYWOOD CODE 3 (1.32MM) 2400MM X 460MM,0.125,EA,Prod. Order,38.83
1203,BONDED 25MM PLYWOOD CODE 5 (2.24MM) 2400MM X 50MM,8.04,Prod. Order,EA,1203,Certified,Item,2053,BONDED 25MM PLYWOOD CODE 5 (2.24MM) 2400MM X 460MM,0.125,EA,Prod. Order,56.00
1204,BONDED 25MM PLYWOOD CODE 6 (2.65MM) 2400MM X 50MM,11.23,Prod. Order,EA,1204,Certified,Item,2059,BONDED 25MM PLYWOOD CODE 6 (2.65MM) 2400MM X 460MM,0.125,EA,Prod. Order,0.00
1205,BONDED 25MM PLYWOOD CODE 7 (3.15MM) 2400MM X 428MM,112.30,Prod. Order,EA,1205,Under Development,Item,2341,BSEN SHEET CODE 7 (3.15MM) 2400MM X 428MM,1.,EA,Purchase,0.00
1206,BONDED 25MM PLYWOOD CODE 7 (3.15MM) 2400MM X 50MM,13.12,Prod. Order,EA,1206,Certified,Item,2060,BONDED 25MM PLYWOOD CODE 7 (3.15MM) 2400MM X 460MM,0.125,EA,Prod. Order,0.00
1207,BONDED 9MM PLYWOOD CODE 6 (2.65MM) 2440MM X 600MM,116.22,Prod. Order,EA,1207,Under Development, ,,,0.,,Purchase,0.00
1208,BONDED 9MM PLYWOOD INV POPLAR CODE 6 (2.65MM) 2440MM X 600MM,118.80,Prod. Order,EA,1208,Certified,Item,2287,BSEN SHEET CODE 6 (2.65MM) 2430MM X 590MM,1.,EA,Purchase,0.00
1208,BONDED 9MM PLYWOOD INV POPLAR CODE 6 (2.65MM) 2440MM X 600MM,118.80,Prod. Order,EA,1208,Certified,Item,3181,PLYWOOD INVERNIZZI POPLAR 9MM X 2440MM X 600MM,1.,EA,Purchase,0.00
1209,BSEN SHEET CODE 3 (1.32MM) 2000MM X 600MM,36.07,Purchase,EA,,New, ,,,0.,,Purchase,0.00
1210,BSEN SHEET CODE 3 (1.32MM) 2390MM X 590MM,37.79,Purchase,EA,,New, ,,,0.,,Purchase,0.00
